M尽/Ano Aprova豪o;Linha/Programa;Agente Financeiro;Tipo de Agricultura;Benefici㎎ios;Estado;Regi黍;Valor Aprovado R$;Nｼ de Opera惚es
 7/2020;MODERFROTA;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;852.550,0;3
 7/2020;MODERFROTA;CRESOL SC-RS;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;128.000,0;1
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Empresas Agro;GOIAS               ;CENTRO OESTE        ;52.275,0;2
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Empresas Agro;MATO GROSSO DO SUL  ;CENTRO OESTE        ;538.900,0;2
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Empresas Agro;MINAS GERAIS        ;SUDESTE             ;345.115,0;5
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Empresas Agro;RIO DE JANEIRO      ;SUDESTE             ;124.986,4;1
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Empresas Agro;SAO PAULO           ;SUDESTE             ;379.549,0;3
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;1.733.439,7;20
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;87.000,0;1
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;9.303.003,8;37
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;2.797.800,4;15
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;22.167.984,4;69
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;11.535.404,1;85
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;37.446.249,8;275
 7/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;986.722,5;2
